"","Year","StateAbbr","StateDesc","CountyName","CountyFIPS","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Geolocation","LocationID"
"26",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",2.9,2.6,3.2,2871,"POINT (-93.58219752 44.87552402)",27019090502
"27",2020,"MN","Minnesota","Beltrami",27007,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.8,5.3,6.3,6246,"POINT (-95.00277997 47.48451811)",27007450100
"28",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.2,5.7,6.7,5233,"POINT (-94.22901825 46.58590844)",27035950400
"29",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.2,7.6,8.7,2584,"POINT (-93.93251483 46.24266994)",27035951600
"30",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.3,3.8,4.8,1573,"POINT (-93.21829689 44.7844411)",27037060744
"31",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.9,6.1,7.7,3099,"POINT (-93.25414935 45.07773072)",27003051202
"32",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.3,5,5.7,2138,"POINT (-93.30322168 44.98798786)",27053003300
"33",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5,4.6,5.5,3832,"POINT (-93.2007603 44.81235632)",27037060750
"34",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.4,4.9,6,1864,"POINT (-93.12778392 44.7399089)",27037061008
"35",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.7,4.2,5.2,5881,"POINT (-93.23049313 44.65204045)",27037060821
"36",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4,3.5,4.7,1337,"POINT (-93.19690312 44.76627588)",27037060822
"37",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.2,4.6,5.8,5441,"POINT (-93.02712976 44.81075943)",27037060509
"38",2020,"MN","Minnesota","Chisago",27025,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.9,4.5,5.4,4474,"POINT (-92.95930654 45.42689396)",27025110402
"39",2020,"MN","Minnesota","Goodhue",27049,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.7,6.1,7.2,5366,"POINT (-92.67374367 44.32492112)",27049080900
"40",2020,"MN","Minnesota","Fillmore",27045,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.7,7,8.5,3616,"POINT (-92.39208393 43.67381018)",27045960300
"41",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.1,4.6,5.5,2769,"POINT (-93.24003196 45.28024905)",27003050235
"42",2020,"MN","Minnesota","Beltrami",27007,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.9,8.5,9.3,1715,"POINT (-94.91858233 48.2122392)",27007450500
"43",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.5,4.1,5,4703,"POINT (-93.27968579 45.19874724)",27003050711
"44",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.1,4.6,5.5,5507,"POINT (-93.82875292 44.93466676)",27019090100
"45",2020,"MN","Minnesota","Blue Earth",27013,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.5,6,7,3601,"POINT (-93.92024741 43.92766883)",27013171400
"46",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.4,4.9,6.1,5588,"POINT (-93.22979052 44.75897473)",27037060806
"47",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4,3.8,4.4,2335,"POINT (-93.26744968 45.00932536)",27053001700
"48",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.5,4.1,5,6534,"POINT (-93.33211087 45.23867674)",27003050220
"49",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.8,5.3,6.4,2478,"POINT (-93.29073197 45.131768)",27003050709
"50",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.4,5.9,6.8,2659,"POINT (-94.20904283 46.36795817)",27035951200
"51",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.5,4.2,4.8,3602,"POINT (-93.3484718 45.20126792)",27003050609
"52",2020,"MN","Minnesota","Goodhue",27049,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.9,6.3,7.6,7204,"POINT (-92.62271257 44.59090525)",27049080200
"53",2020,"MN","Minnesota","Freeborn",27047,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.1,6.7,7.5,3421,"POINT (-93.52352079 43.58968644)",27047180300
"54",2020,"MN","Minnesota","Blue Earth",27013,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3,2.8,3.3,5023,"POINT (-93.99417954 44.13762584)",27013171600
"55",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.9,3.6,4.3,6633,"POINT (-93.20481657 45.13916034)",27003050813
"56",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.4,4,4.9,2715,"POINT (-93.23839258 45.32328161)",27003050110
"57",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.6,5.1,6.1,5331,"POINT (-94.24646032 46.42135986)",27035950900
"58",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.6,3.2,4,4460,"POINT (-93.23618668 44.90887201)",27053011800
"59",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.1,4.5,5.7,2546,"POINT (-93.16389959 44.85181179)",27037060726
"60",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.1,2.9,3.4,7439,"POINT (-93.19996049 44.69064182)",27037060818
"61",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.5,7.9,9,1985,"POINT (-93.92922604 46.69570828)",27035950100
"62",2020,"MN","Minnesota","Blue Earth",27013,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.6,5,6.2,2990,"POINT (-93.99254466 44.18696072)",27013170300
"63",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.6,5.1,6.1,3343,"POINT (-93.23569543 45.09692355)",27003051103
"64",2020,"MN","Minnesota","Becker",27005,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.3,5.7,7.1,2357,"POINT (-95.86718839 46.89332165)",27005450400
"65",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.1,4.6,5.6,2494,"POINT (-93.06087754 44.90639864)",27037060201
"66",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4,3.6,4.5,9766,"POINT (-93.61361676 44.79496957)",27019091000
"67",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.9,4.5,5.2,2583,"POINT (-93.31332043 44.99517127)",27053002700
"68",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.8,5.3,6.3,3759,"POINT (-93.25602648 45.11617768)",27003051002
"69",2020,"MN","Minnesota","Carlton",27017,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.3,6.8,7.8,6808,"POINT (-92.65822647 46.51885219)",27017070500
"70",2020,"MN","Minnesota","Aitkin",27001,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.2,9.6,10.8,1957,"POINT (-93.38748439 46.32545164)",27001790501
"71",2020,"MN","Minnesota","Chisago",27025,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.4,5.2,5.7,6967,"POINT (-92.92152558 45.6092099)",27025110200
"72",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.5,5,6.1,4990,"POINT (-93.02557015 44.84141367)",27037060503
"73",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.8,5.2,6.5,4860,"POINT (-92.87892268 44.74714435)",27037061102
"74",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.6,4.1,5.1,4328,"POINT (-93.30301083 44.70063747)",27037060813
"75",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.2,4.9,5.5,3640,"POINT (-92.92286973 44.57870766)",27037061402
"76",2020,"MN","Minnesota","Clay",27027,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.1,6.4,8,2352,"POINT (-96.76644289 46.88264351)",27027020202
"77",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.4,4.9,5.9,3914,"POINT (-93.08103916 45.26845693)",27003050210
"78",2020,"MN","Minnesota","Cass",27021,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.6,8.9,10.2,1092,"POINT (-94.35156215 46.89923862)",27021960302
"79",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3,2.6,3.5,6301,"POINT (-93.12599432 44.81189471)",27037060730
"80",2020,"MN","Minnesota","Aitkin",27001,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.4,8.3,10.5,3268,"POINT (-93.75102913 46.53533698)",27001770300
"81",2020,"MN","Minnesota","Beltrami",27007,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.4,5.9,7,4359,"POINT (-94.77014591 47.61701051)",27007450300
"82",2020,"MN","Minnesota","Faribault",27043,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.9,7.9,9.8,3343,"POINT (-94.09408403 43.63980208)",27043460400
"83",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.2,3,3.5,3039,"POINT (-93.18967347 44.72467383)",27037060829
"84",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.7,4.2,5.2,4641,"POINT (-93.25030078 45.02655966)",27053000601
"85",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3,2.8,3.3,3727,"POINT (-93.21008608 44.7246764)",27037060828
"86",2020,"MN","Minnesota","Blue Earth",27013,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.6,4.3,5,4635,"POINT (-93.83051793 44.18339271)",27013170100
"87",2020,"MN","Minnesota","Clay",27027,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",1.8,1.6,1.9,5091,"POINT (-96.75901529 46.86395545)",27027020400
"88",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.8,3.4,4.3,3053,"POINT (-93.09048845 45.19944929)",27003050233
"89",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.6,3.3,4,5425,"POINT (-93.13178531 45.18295464)",27003050229
"90",2020,"MN","Minnesota","Chisago",27025,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.7,6.1,7.2,3977,"POINT (-92.84834123 45.3976433)",27025110501
"91",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.5,4,5.2,3717,"POINT (-93.26662639 44.72589663)",27037060742
"92",2020,"MN","Minnesota","Grant",27051,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.2,7.7,8.7,3092,"POINT (-95.97611219 46.03495313)",27051070100
"93",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5,4.6,5.5,3054,"POINT (-92.81245238 44.67257572)",27037061401
"94",2020,"MN","Minnesota","Clay",27027,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.9,5.3,6.6,4293,"POINT (-96.74815925 46.8538883)",27027020600
"95",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.2,6.4,8,2893,"POINT (-93.23391209 45.04144675)",27003051502
"96",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.9,6.3,7.6,2496,"POINT (-93.37337698 45.19420267)",27003050504
"97",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.2,3.7,4.7,6184,"POINT (-93.56568058 44.85332022)",27019090701
"98",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.8,4.3,5.3,3115,"POINT (-93.26583298 44.76072486)",27037060713
"99",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.9,6.4,7.5,4124,"POINT (-94.16310192 46.39455369)",27035951000
"100",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.7,3.3,4.1,6116,"POINT (-93.14143518 44.74985888)",27037061004
"101",2020,"MN","Minnesota","Benton",27009,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.8,5.3,6.3,3093,"POINT (-94.17237236 45.69527199)",27009020205
"102",2020,"MN","Minnesota","Freeborn",27047,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8,7.2,8.7,2596,"POINT (-93.34644957 43.63259623)",27047180700
"103",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.5,4.9,6.2,2691,"POINT (-93.10119805 44.89885045)",27037060103
"104",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.6,4.2,5.1,2803,"POINT (-93.36812552 45.33911414)",27003050114
"105",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.1,3.6,4.5,4698,"POINT (-93.27208111 44.68426539)",27037060815
"106",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.7,4.3,5.2,3861,"POINT (-93.53415297 44.86871933)",27019090601
"107",2020,"MN","Minnesota","Benton",27009,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.1,7.7,10.6,2693,"POINT (-94.16990408 45.6311495)",27009020206
"108",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6,5.5,6.6,5692,"POINT (-93.0562472 44.86516624)",27037060506
"109",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8,7,9.1,5133,"POINT (-93.07298325 44.89804386)",27037060105
"110",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.6,4.1,5.1,3883,"POINT (-93.18181479 44.79693429)",27037060733
"111",2020,"MN","Minnesota","Big Stone",27011,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10,9,11.1,1979,"POINT (-96.42971616 45.29813251)",27011950300
"112",2020,"MN","Minnesota","Brown",27015,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8,7.3,8.8,4479,"POINT (-94.73396364 44.34246681)",27015960400
"113",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4,3.6,4.5,6790,"POINT (-93.16660724 44.73180219)",27037060826
"114",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",2.8,2.5,3.1,5079,"POINT (-93.80656045 44.819621)",27019090302
"115",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.7,4.4,5.1,5357,"POINT (-93.31333127 44.73412479)",27037060739
"116",2020,"MN","Minnesota","Chisago",27025,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.1,4.6,5.5,6271,"POINT (-92.96018137 45.49082244)",27025110302
"117",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.9,3.5,4.4,6091,"POINT (-93.41413574 45.27716016)",27003050225
"118",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.7,6,7.4,4604,"POINT (-93.26768911 44.77469229)",27037060737
"119",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.9,3.6,4.2,1693,"POINT (-93.27503986 44.95294878)",27053007801
"120",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.4,5.8,7,2323,"POINT (-93.26078998 45.05560655)",27003051304
"121",2020,"MN","Minnesota","Crow Wing",27035,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.8,6.2,7.5,6236,"POINT (-94.26818231 46.32894951)",27035951302
"122",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7,6.2,7.7,3981,"POINT (-93.23766046 45.05534265)",27003051302
"123",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.9,4.4,5.4,3760,"POINT (-93.23789099 44.79585014)",27037060747
"124",2020,"MN","Minnesota","Carlton",27017,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.2,6.8,7.5,3382,"POINT (-92.88499926 46.60440854)",27017070600
"125",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.8,3.5,4.2,2435,"POINT (-93.29295447 44.92098864)",27053010700
"126",2020,"MN","Minnesota","Douglas",27041,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.5,6.7,8.4,2631,"POINT (-95.38671896 45.90417368)",27041450702
"127",2020,"MN","Minnesota","Faribault",27043,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.7,7.2,8.1,1995,"POINT (-94.13871668 43.60745937)",27043460300
"128",2020,"MN","Minnesota","Dodge",27039,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.2,5.8,6.7,3592,"POINT (-92.83261349 43.91226232)",27039950400
"129",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.8,3.4,4.4,4520,"POINT (-93.1454075 44.78834998)",27037060731
"130",2020,"MN","Minnesota","Benton",27009,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.3,5,5.8,3022,"POINT (-94.01986463 45.60504564)",27009020300
"131",2020,"MN","Minnesota","Cass",27021,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.4,7.9,8.9,2959,"POINT (-94.51862747 46.83806462)",27021960600
"132",2020,"MN","Minnesota","Aitkin",27001,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9,8.1,10,3262,"POINT (-93.68144333 46.37626353)",27001790502
"133",2020,"MN","Minnesota","Brown",27015,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.3,5.7,7,2000,"POINT (-94.45628277 44.31824947)",27015960101
"134",2020,"MN","Minnesota","Beltrami",27007,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.6,6.8,8.5,5233,"POINT (-94.90211044 47.48044231)",27007450702
"135",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.1,5.5,6.6,5542,"POINT (-93.33860749 45.1638616)",27003050605
"136",2020,"MN","Minnesota","Hennepin",27053,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.5,3.2,3.8,2250,"POINT (-93.26776542 45.00210519)",27053002400
"137",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.3,4,4.6,5202,"POINT (-93.2055626 45.38020634)",27003050109
"138",2020,"MN","Minnesota","Benton",27009,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.1,4.7,5.7,4221,"POINT (-94.14975104 45.58714961)",27009021102
"139",2020,"MN","Minnesota","Fillmore",27045,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.1,7.5,8.7,3125,"POINT (-91.83074057 43.6635378)",27045960600
"140",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",2.9,2.5,3.3,6508,"POINT (-93.22834913 44.70531599)",27037060819
"141",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",5.1,4.6,5.5,6130,"POINT (-92.83257434 44.7105216)",27037061108
"142",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.7,3.3,4.2,6062,"POINT (-93.27172591 44.70639721)",27037060814
"143",2020,"MN","Minnesota","Dakota",27037,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.8,4.3,5.4,3116,"POINT (-93.15709731 44.82619569)",27037060727
"144",2020,"MN","Minnesota","Clay",27027,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.3,4.1,4.6,6882,"POINT (-96.66022496 46.75356634)",27027030104
"145",2020,"MN","Minnesota","Freeborn",27047,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9,8.1,9.9,3414,"POINT (-93.37777662 43.63844661)",27047180900
"146",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.6,4.2,5.1,2972,"POINT (-93.40144842 45.21500797)",27003050401
"147",2020,"MN","Minnesota","Douglas",27041,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.2,6.8,7.6,3100,"POINT (-95.45570133 46.06276732)",27041450100
"148",2020,"MN","Minnesota","Carver",27019,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",3.8,3.4,4.2,8218,"POINT (-93.61866243 44.83219163)",27019090800
"149",2020,"MN","Minnesota","Anoka",27003,"Coronary heart disease among adults aged >=18 years","%","Crude prevalence",4.4,3.9,4.8,3001,"POINT (-93.22302409 45.18921054)",27003050820
