tract_id,pct_ebll_cat,primary_county,num_EBLLs_tract,tested,pct_ebll_county,per_eblls_label,pct_ebll_cat_label
27003051206,2,Anoka County,*1-4,163,0.3%,About 0.8%,No significant difference
27003051302,2,Anoka County,*1-4,261,0.3%,About 0.8%,No significant difference
27003051304,2,Anoka County,*1-4,156,0.3%,About 0.8%,No significant difference
27003051305,2,Anoka County,0,220,0.3%,0.0%,No significant difference
27003051400,2,Anoka County,*1-4,353,0.3%,About 0.8%,No significant difference
27003051501,2,Anoka County,*1-4,257,0.3%,About 0.8%,No significant difference
27003051502,2,Anoka County,0,187,0.3%,0.0%,No significant difference
27003051600,2,Anoka County,0,232,0.3%,0.0%,No significant difference
27005450100,2,Becker County,*1-4,135,0.4%,About 0.8%,No significant difference
27005450200,2,Becker County,*1-4,68,0.4%,About 0.8%,No significant difference
27005450300,2,Becker County,*1-4,214,0.4%,About 0.8%,No significant difference
27005450400,2,Becker County,0,117,0.4%,0.0%,No significant difference
27005450500,2,Becker County,*1-4,264,0.4%,About 0.8%,No significant difference
27005450600,2,Becker County,*1-4,129,0.4%,About 0.8%,No significant difference
27005450700,2,Becker County,0,75,0.4%,0.0%,No significant difference
27005450800,2,Becker County,0,69,0.4%,0.0%,No significant difference
27005450900,2,Becker County,0,106,0.4%,0.0%,No significant difference
27005940000,2,Becker County,0,176,0.4%,0.0%,No significant difference
27007450100,2,Beltrami County,0,268,0.2%,0.0%,No significant difference
27007450200,2,Beltrami County,0,229,0.2%,0.0%,No significant difference
27007450300,2,Beltrami County,0,95,0.2%,0.0%,No significant difference
27007450400,2,Beltrami County,0,83,0.2%,0.0%,No significant difference
27007450500,2,Beltrami County,0,63,0.2%,0.0%,No significant difference
27007450600,2,Beltrami County,0,125,0.2%,0.0%,No significant difference
27007450701,2,Beltrami County,0,179,0.2%,0.0%,No significant difference
27007450702,2,Beltrami County,0,228,0.2%,0.0%,No significant difference
27007940001,2,Beltrami County,0,1,0.2%,0.0%,No significant difference
27007940002,2,Beltrami County,0,65,0.2%,0.0%,No significant difference
27009020100,2,Benton County,*1-4,361,0.3%,About 0.8%,No significant difference
27009020202,2,Benton County,0,170,0.3%,0.0%,No significant difference
27009020203,2,Benton County,0,270,0.3%,0.0%,No significant difference
27009020205,2,Benton County,*1-4,178,0.3%,About 0.8%,No significant difference
27009020206,2,Benton County,0,99,0.3%,0.0%,No significant difference
27009020300,2,Benton County,0,215,0.3%,0.0%,No significant difference
27009021101,2,Benton County,*1-4,552,0.3%,About 0.8%,No significant difference
27009021102,2,Benton County,*1-4,295,0.3%,About 0.8%,No significant difference
27009021200,2,Benton County,*1-4,548,0.3%,About 0.8%,No significant difference
27011950100,2,Big Stone County,*1-4,43,1.8%,About 0.8%,No significant difference
27011950200,2,Big Stone County,0,66,1.8%,0.0%,No significant difference
27011950300,2,Big Stone County,*1-4,92,1.8%,About 0.8%,No significant difference
27013170100,2,Blue Earth County,*1-4,230,0.9%,About 0.8%,No significant difference
27013170200,2,Blue Earth County,*1-4,395,0.9%,About 0.8%,No significant difference
27013170300,2,Blue Earth County,*1-4,159,0.9%,About 0.8%,No significant difference
27013170400,2,Blue Earth County,0,129,0.9%,0.0%,No significant difference
27013170500,2,Blue Earth County,0,204,0.9%,0.0%,No significant difference
27013170600,3,Blue Earth County,*1-4,121,0.9%,> 0.8%,Significantly higher (1-2 times)
27013170700,3,Blue Earth County,*1-4,100,0.9%,> 0.8%,Significantly higher (1-2 times)
27013170800,2,Blue Earth County,*1-4,212,0.9%,About 0.8%,No significant difference
27013170900,2,Blue Earth County,0,117,0.9%,0.0%,No significant difference
27013171000,2,Blue Earth County,*1-4,138,0.9%,About 0.8%,No significant difference
27013171101,2,Blue Earth County,*1-4,89,0.9%,About 0.8%,No significant difference
27013171202,2,Blue Earth County,*1-4,254,0.9%,About 0.8%,No significant difference
27013171300,2,Blue Earth County,*1-4,111,0.9%,About 0.8%,No significant difference
27013171400,3,Blue Earth County,*1-4,141,0.9%,> 0.8%,Significantly higher (1-2 times)
27013171500,3,Blue Earth County,6,125,0.9%,4.8%,Significantly higher (1-2 times)
27013171600,2,Blue Earth County,0,155,0.9%,0.0%,No significant difference
27015960101,2,Brown County,0,20,1.2%,0.0%,No significant difference
27015960102,2,Brown County,0,24,1.2%,0.0%,No significant difference
27015960200,2,Brown County,0,85,1.2%,0.0%,No significant difference
27015960300,2,Brown County,0,65,1.2%,0.0%,No significant difference
27015960400,2,Brown County,0,130,1.2%,0.0%,No significant difference
27015960500,3,Brown County,5,234,1.2%,2.1%,Significantly higher (1-2 times)
27015960600,2,Brown County,0,71,1.2%,0.0%,No significant difference
27015960700,2,Brown County,*1-4,144,1.2%,About 0.8%,No significant difference
27017070100,2,Carlton County,*1-4,330,0.4%,About 0.8%,No significant difference
27017070200,2,Carlton County,0,199,0.4%,0.0%,No significant difference
27017070300,2,Carlton County,*1-4,260,0.4%,About 0.8%,No significant difference
27017070400,2,Carlton County,*1-4,365,0.4%,About 0.8%,No significant difference
27017070500,2,Carlton County,*1-4,212,0.4%,About 0.8%,No significant difference
27017070600,2,Carlton County,0,108,0.4%,0.0%,No significant difference
27017940000,2,Carlton County,*1-4,185,0.4%,About 0.8%,No significant difference
27019090100,2,Carver County,*1-4,307,0.4%,About 0.8%,No significant difference
27019090200,2,Carver County,*1-4,253,0.4%,About 0.8%,No significant difference
27019090301,2,Carver County,*1-4,210,0.4%,About 0.8%,No significant difference
27019090302,2,Carver County,0,295,0.4%,0.0%,No significant difference
27019090401,2,Carver County,0,290,0.4%,0.0%,No significant difference
27019090402,2,Carver County,0,191,0.4%,0.0%,No significant difference
27019090501,2,Carver County,0,84,0.4%,0.0%,No significant difference
27019090502,2,Carver County,0,68,0.4%,0.0%,No significant difference
27019090503,2,Carver County,0,67,0.4%,0.0%,No significant difference
27019090601,2,Carver County,0,132,0.4%,0.0%,No significant difference
27019090602,2,Carver County,0,85,0.4%,0.0%,No significant difference
27019090701,2,Carver County,*1-4,237,0.4%,About 0.8%,No significant difference
27019090702,2,Carver County,0,119,0.4%,0.0%,No significant difference
27019090800,2,Carver County,0,375,0.4%,0.0%,No significant difference
27019090900,2,Carver County,*1-4,198,0.4%,About 0.8%,No significant difference
27019091000,2,Carver County,5,673,0.4%,0.7%,No significant difference
27019091100,2,Carver County,*1-4,337,0.4%,About 0.8%,No significant difference
27019091201,2,Carver County,*1-4,249,0.4%,About 0.8%,No significant difference
27019091202,2,Carver County,*1-4,134,0.4%,About 0.8%,No significant difference
27021940001,2,Cass County,0,94,0.4%,0.0%,No significant difference
27021940002,2,Cass County,0,176,0.4%,0.0%,No significant difference
27021960100,2,Cass County,0,61,0.4%,0.0%,No significant difference
27021960200,2,Cass County,0,72,0.4%,0.0%,No significant difference
27021960301,2,Cass County,0,8,0.4%,0.0%,No significant difference
27021960302,2,Cass County,0,17,0.4%,0.0%,No significant difference
27021960600,2,Cass County,0,80,0.4%,0.0%,No significant difference
27021960700,2,Cass County,0,192,0.4%,0.0%,No significant difference
27021960801,2,Cass County,0,108,0.4%,0.0%,No significant difference
27021960802,2,Cass County,*1-4,161,0.4%,About 0.8%,No significant difference
27023950300,2,Chippewa County,*1-4,73,1.0%,About 0.8%,No significant difference
27023950400,2,Chippewa County,0,94,1.0%,0.0%,No significant difference
27023950500,2,Chippewa County,*1-4,99,1.0%,About 0.8%,No significant difference
27023950600,2,Chippewa County,*1-4,242,1.0%,About 0.8%,No significant difference
27025110100,2,Chisago County,*1-4,135,0.5%,About 0.8%,No significant difference
27025110200,2,Chisago County,*1-4,278,0.5%,About 0.8%,No significant difference
27025110301,2,Chisago County,0,213,0.5%,0.0%,No significant difference
27025110302,2,Chisago County,*1-4,374,0.5%,About 0.8%,No significant difference
27025110401,2,Chisago County,*1-4,440,0.5%,About 0.8%,No significant difference
27025110402,2,Chisago County,*1-4,220,0.5%,About 0.8%,No significant difference
27025110501,2,Chisago County,*1-4,180,0.5%,About 0.8%,No significant difference
27025110502,2,Chisago County,*1-4,245,0.5%,About 0.8%,No significant difference
27025110600,2,Chisago County,*1-4,236,0.5%,About 0.8%,No significant difference
27025110700,2,Chisago County,0,197,0.5%,0.0%,No significant difference
27027020100,2,Clay County,*1-4,250,0.2%,About 0.8%,No significant difference
27027020202,2,Clay County,0,83,0.2%,0.0%,No significant difference
27027020300,2,Clay County,*1-4,137,0.2%,About 0.8%,No significant difference
27027020400,2,Clay County,0,93,0.2%,0.0%,No significant difference
27027020500,2,Clay County,*1-4,172,0.2%,About 0.8%,No significant difference
27027020600,2,Clay County,*1-4,273,0.2%,About 0.8%,No significant difference
27027030102,2,Clay County,*1-4,288,0.2%,About 0.8%,No significant difference
27027030103,1,Clay County,0,600,0.2%,0.0%,Significantly lower (<0.7%)
27027030104,1,Clay County,0,444,0.2%,0.0%,Significantly lower (<0.7%)
27027030106,2,Clay County,*1-4,71,0.2%,About 0.8%,No significant difference
27027030107,2,Clay County,0,54,0.2%,0.0%,No significant difference
27027030201,2,Clay County,0,169,0.2%,0.0%,No significant difference
27027030202,2,Clay County,*1-4,216,0.2%,About 0.8%,No significant difference
27029000100,2,Clearwater County,0,51,0.0%,0.0%,No significant difference
27029000200,2,Clearwater County,0,63,0.0%,0.0%,No significant difference
27029000300,2,Clearwater County,0,58,0.0%,0.0%,No significant difference
27031480100,2,Cook County,0,46,0.0%,0.0%,No significant difference
27031480200,2,Cook County,0,31,0.0%,0.0%,No significant difference
27033270100,3,Cottonwood County,*1-4,113,1.2%,> 0.8%,Significantly higher (1-2 times)
27033270200,2,Cottonwood County,0,42,1.2%,0.0%,No significant difference
27033270300,2,Cottonwood County,*1-4,118,1.2%,About 0.8%,No significant difference
27033270400,2,Cottonwood County,*1-4,171,1.2%,About 0.8%,No significant difference
27035950100,2,Crow Wing County,0,35,0.4%,0.0%,No significant difference
27035950204,2,Crow Wing County,0,21,0.4%,0.0%,No significant difference
27035950400,2,Crow Wing County,*1-4,176,0.4%,About 0.8%,No significant difference
27035950501,2,Crow Wing County,0,75,0.4%,0.0%,No significant difference
27035950502,2,Crow Wing County,0,79,0.4%,0.0%,No significant difference
27035950700,2,Crow Wing County,0,186,0.4%,0.0%,No significant difference
27035950800,2,Crow Wing County,*1-4,152,0.4%,About 0.8%,No significant difference
27035950900,2,Crow Wing County,0,207,0.4%,0.0%,No significant difference
27035951000,2,Crow Wing County,*1-4,236,0.4%,About 0.8%,No significant difference
27035951100,2,Crow Wing County,*1-4,281,0.4%,About 0.8%,No significant difference
27035951200,2,Crow Wing County,*1-4,126,0.4%,About 0.8%,No significant difference
27035951301,2,Crow Wing County,0,270,0.4%,0.0%,No significant difference
27035951302,2,Crow Wing County,*1-4,292,0.4%,About 0.8%,No significant difference
27035951400,2,Crow Wing County,0,232,0.4%,0.0%,No significant difference
27035951600,2,Crow Wing County,0,68,0.4%,0.0%,No significant difference
27035951700,2,Crow Wing County,0,65,0.4%,0.0%,No significant difference
27037060101,3,Dakota County,5,252,0.3%,2.0%,Significantly higher (1-2 times)
27037060102,2,Dakota County,*1-4,207,0.3%,About 0.8%,No significant difference
27037060103,2,Dakota County,0,174,0.3%,0.0%,No significant difference
27037060104,2,Dakota County,*1-4,347,0.3%,About 0.8%,No significant difference
27037060105,2,Dakota County,0,339,0.3%,0.0%,No significant difference
27037060201,2,Dakota County,*1-4,178,0.3%,About 0.8%,No significant difference
27037060202,2,Dakota County,*1-4,195,0.3%,About 0.8%,No significant difference
27037060301,2,Dakota County,*1-4,321,0.3%,About 0.8%,No significant difference
27037060302,2,Dakota County,0,251,0.3%,0.0%,No significant difference
27037060401,2,Dakota County,0,167,0.3%,0.0%,No significant difference
27037060402,2,Dakota County,*1-4,234,0.3%,About 0.8%,No significant difference
27037060502,2,Dakota County,0,285,0.3%,0.0%,No significant difference
27037060503,2,Dakota County,0,320,0.3%,0.0%,No significant difference
27037060505,1,Dakota County,0,461,0.3%,0.0%,Significantly lower (<0.7%)
27037060506,2,Dakota County,0,291,0.3%,0.0%,No significant difference
27037060507,2,Dakota County,0,158,0.3%,0.0%,No significant difference
27037060508,2,Dakota County,*1-4,232,0.3%,About 0.8%,No significant difference
27037060509,2,Dakota County,*1-4,232,0.3%,About 0.8%,No significant difference
27037060603,2,Dakota County,*1-4,188,0.3%,About 0.8%,No significant difference
27037060604,2,Dakota County,0,112,0.3%,0.0%,No significant difference
27037060605,2,Dakota County,0,105,0.3%,0.0%,No significant difference
27037060606,2,Dakota County,0,109,0.3%,0.0%,No significant difference
27037060709,2,Dakota County,*1-4,405,0.3%,About 0.8%,No significant difference
27037060710,2,Dakota County,0,383,0.3%,0.0%,No significant difference
27037060711,2,Dakota County,0,303,0.3%,0.0%,No significant difference
27037060713,2,Dakota County,0,177,0.3%,0.0%,No significant difference
27037060714,2,Dakota County,0,256,0.3%,0.0%,No significant difference
27037060716,2,Dakota County,*1-4,208,0.3%,About 0.8%,No significant difference
27037060717,2,Dakota County,0,152,0.3%,0.0%,No significant difference
27037060721,2,Dakota County,0,143,0.3%,0.0%,No significant difference
27037060725,2,Dakota County,*1-4,264,0.3%,About 0.8%,No significant difference
27037060726,2,Dakota County,*1-4,208,0.3%,About 0.8%,No significant difference
27037060727,2,Dakota County,*1-4,229,0.3%,About 0.8%,No significant difference
27037060728,2,Dakota County,*1-4,260,0.3%,About 0.8%,No significant difference
27037060729,2,Dakota County,*1-4,186,0.3%,About 0.8%,No significant difference
27037060730,2,Dakota County,0,310,0.3%,0.0%,No significant difference
27037060731,2,Dakota County,0,303,0.3%,0.0%,No significant difference
27037060732,2,Dakota County,*1-4,272,0.3%,About 0.8%,No significant difference
27037060733,2,Dakota County,*1-4,192,0.3%,About 0.8%,No significant difference
27037060734,2,Dakota County,0,274,0.3%,0.0%,No significant difference
27037060735,2,Dakota County,*1-4,355,0.3%,About 0.8%,No significant difference
27037060737,2,Dakota County,*1-4,322,0.3%,About 0.8%,No significant difference
27037060738,2,Dakota County,*1-4,260,0.3%,About 0.8%,No significant difference
27037060739,2,Dakota County,0,258,0.3%,0.0%,No significant difference
27037060741,2,Dakota County,*1-4,494,0.3%,About 0.8%,No significant difference
27037060742,2,Dakota County,0,194,0.3%,0.0%,No significant difference
27037060743,2,Dakota County,0,117,0.3%,0.0%,No significant difference
27037060744,2,Dakota County,0,90,0.3%,0.0%,No significant difference
27037060745,2,Dakota County,*1-4,321,0.3%,About 0.8%,No significant difference
27037060746,2,Dakota County,0,199,0.3%,0.0%,No significant difference
27037060747,2,Dakota County,*1-4,262,0.3%,About 0.8%,No significant difference
27037060748,2,Dakota County,*1-4,234,0.3%,About 0.8%,No significant difference
27037060749,2,Dakota County,*1-4,47,0.3%,About 0.8%,No significant difference
27037060750,2,Dakota County,*1-4,272,0.3%,About 0.8%,No significant difference
27037060805,2,Dakota County,*1-4,249,0.3%,About 0.8%,No significant difference
27037060806,2,Dakota County,0,258,0.3%,0.0%,No significant difference
27037060811,2,Dakota County,0,311,0.3%,0.0%,No significant difference
27037060812,2,Dakota County,*1-4,362,0.3%,About 0.8%,No significant difference
27037060813,2,Dakota County,0,196,0.3%,0.0%,No significant difference
27037060814,2,Dakota County,0,343,0.3%,0.0%,No significant difference
27037060815,2,Dakota County,0,261,0.3%,0.0%,No significant difference
27037060816,2,Dakota County,*1-4,427,0.3%,About 0.8%,No significant difference
27037060817,2,Dakota County,*1-4,653,0.3%,About 0.8%,No significant difference
27037060818,2,Dakota County,*1-4,532,0.3%,About 0.8%,No significant difference
27037060819,2,Dakota County,0,347,0.3%,0.0%,No significant difference
27037060820,1,Dakota County,0,464,0.3%,0.0%,Significantly lower (<0.7%)
27037060821,2,Dakota County,*1-4,722,0.3%,About 0.8%,No significant difference
27037060822,2,Dakota County,0,83,0.3%,0.0%,No significant difference
27037060823,2,Dakota County,0,176,0.3%,0.0%,No significant difference
27037060824,2,Dakota County,0,144,0.3%,0.0%,No significant difference
27037060825,2,Dakota County,0,307,0.3%,0.0%,No significant difference
27037060826,2,Dakota County,*1-4,519,0.3%,About 0.8%,No significant difference
27037060828,2,Dakota County,0,294,0.3%,0.0%,No significant difference
27037060829,2,Dakota County,*1-4,207,0.3%,About 0.8%,No significant difference
27037060902,2,Dakota County,*1-4,220,0.3%,About 0.8%,No significant difference
27037060904,2,Dakota County,0,167,0.3%,0.0%,No significant difference
27037060905,2,Dakota County,*1-4,464,0.3%,About 0.8%,No significant difference
27037060906,2,Dakota County,0,201,0.3%,0.0%,No significant difference
27037060907,2,Dakota County,*1-4,568,0.3%,About 0.8%,No significant difference
27037061001,2,Dakota County,0,214,0.3%,0.0%,No significant difference
27037061003,2,Dakota County,0,166,0.3%,0.0%,No significant difference
27037061004,2,Dakota County,0,209,0.3%,0.0%,No significant difference
27037061005,2,Dakota County,0,127,0.3%,0.0%,No significant difference
27037061007,2,Dakota County,0,241,0.3%,0.0%,No significant difference
27037061008,2,Dakota County,0,109,0.3%,0.0%,No significant difference
27037061009,1,Dakota County,0,421,0.3%,0.0%,Significantly lower (<0.7%)
27037061102,2,Dakota County,*1-4,252,0.3%,About 0.8%,No significant difference
27037061105,2,Dakota County,0,147,0.3%,0.0%,No significant difference
27037061106,2,Dakota County,0,150,0.3%,0.0%,No significant difference
27037061107,2,Dakota County,*1-4,324,0.3%,About 0.8%,No significant difference
27037061108,2,Dakota County,*1-4,374,0.3%,About 0.8%,No significant difference
27037061401,2,Dakota County,0,136,0.3%,0.0%,No significant difference
27037061402,2,Dakota County,*1-4,203,0.3%,About 0.8%,No significant difference
27037061501,2,Dakota County,*1-4,89,0.3%,About 0.8%,No significant difference
27037061502,2,Dakota County,*1-4,129,0.3%,About 0.8%,No significant difference
27039950100,2,Dodge County,0,53,0.6%,0.0%,No significant difference
27039950200,2,Dodge County,0,118,0.6%,0.0%,No significant difference
27039950300,2,Dodge County,*1-4,90,0.6%,About 0.8%,No significant difference
27039950400,2,Dodge County,0,101,0.6%,0.0%,No significant difference
27039950500,2,Dodge County,*1-4,155,0.6%,About 0.8%,No significant difference
27041450100,2,Douglas County,*1-4,166,0.4%,About 0.8%,No significant difference
27041450200,2,Douglas County,*1-4,185,0.4%,About 0.8%,No significant difference
27041450500,2,Douglas County,0,230,0.4%,0.0%,No significant difference
27041450600,2,Douglas County,*1-4,371,0.4%,About 0.8%,No significant difference
27041450701,2,Douglas County,5,282,0.4%,1.8%,No significant difference
27041450702,2,Douglas County,0,137,0.4%,0.0%,No significant difference
27041450800,2,Douglas County,0,150,0.4%,0.0%,No significant difference
27041450900,2,Douglas County,0,149,0.4%,0.0%,No significant difference
27041451000,2,Douglas County,*1-4,203,0.4%,About 0.8%,No significant difference
27043460100,2,Faribault County,*1-4,86,2.8%,About 0.8%,No significant difference
27043460200,2,Faribault County,*1-4,68,2.8%,About 0.8%,No significant difference
27043460300,2,Faribault County,0,53,2.8%,0.0%,No significant difference
27043460400,3,Faribault County,5,116,2.8%,4.3%,Significantly higher (1-2 times)
27043460500,2,Faribault County,*1-4,71,2.8%,About 0.8%,No significant difference
27043460600,2,Faribault County,*1-4,128,2.8%,About 0.8%,No significant difference
27045960100,2,Fillmore County,*1-4,85,1.6%,About 0.8%,No significant difference
27045960200,2,Fillmore County,*1-4,72,1.6%,About 0.8%,No significant difference
27045960300,2,Fillmore County,*1-4,72,1.6%,About 0.8%,No significant difference
27045960400,3,Fillmore County,*1-4,80,1.6%,> 0.8%,Significantly higher (1-2 times)
27045960500,2,Fillmore County,*1-4,86,1.6%,About 0.8%,No significant difference
27045960600,2,Fillmore County,*1-4,82,1.6%,About 0.8%,No significant difference
27047180100,2,Freeborn County,*1-4,90,2.1%,About 0.8%,No significant difference
27047180200,2,Freeborn County,*1-4,111,2.1%,About 0.8%,No significant difference
27047180300,3,Freeborn County,*1-4,125,2.1%,> 0.8%,Significantly higher (1-2 times)
27047180400,2,Freeborn County,*1-4,146,2.1%,About 0.8%,No significant difference
27047180500,2,Freeborn County,*1-4,182,2.1%,About 0.8%,No significant difference
27047180600,3,Freeborn County,7,257,2.1%,2.7%,Significantly higher (1-2 times)
27047180700,2,Freeborn County,0,91,2.1%,0.0%,No significant difference
27047180800,4,Freeborn County,9,119,2.1%,7.6%,Significantly higher (3+ times)
27047180900,2,Freeborn County,*1-4,206,2.1%,About 0.8%,No significant difference
27047181000,2,Freeborn County,0,67,2.1%,0.0%,No significant difference
27049080101,3,Goodhue County,5,157,1.8%,3.2%,Significantly higher (1-2 times)
27049080102,2,Goodhue County,*1-4,268,1.8%,About 0.8%,No significant difference
27049080200,4,Goodhue County,13,293,1.8%,4.4%,Significantly higher (3+ times)
27049080300,2,Goodhue County,0,103,1.8%,0.0%,No significant difference
27049080400,2,Goodhue County,*1-4,152,1.8%,About 0.8%,No significant difference
27049080500,2,Goodhue County,*1-4,145,1.8%,About 0.8%,No significant difference
27049080600,2,Goodhue County,*1-4,211,1.8%,About 0.8%,No significant difference
27049080700,2,Goodhue County,*1-4,124,1.8%,About 0.8%,No significant difference
27049080800,2,Goodhue County,*1-4,126,1.8%,About 0.8%,No significant difference
27049080900,2,Goodhue County,*1-4,197,1.8%,About 0.8%,No significant difference
27051070100,3,Grant County,*1-4,156,1.4%,> 0.8%,Significantly higher (1-2 times)
27051070200,2,Grant County,*1-4,134,1.4%,About 0.8%,No significant difference
27053000101,2,Hennepin County,*1-4,256,0.9%,About 0.8%,No significant difference
27053000102,2,Hennepin County,*1-4,406,0.9%,About 0.8%,No significant difference
27053000300,3,Hennepin County,5,220,0.9%,2.3%,Significantly higher (1-2 times)
27053000601,2,Hennepin County,*1-4,384,0.9%,About 0.8%,No significant difference
27053000603,2,Hennepin County,*1-4,261,0.9%,About 0.8%,No significant difference
